"STUID","Y1E_ST1_1","Y1E_ST21_1","Y1E_ST21_2","Y1E_ST21_3","Y1E_ST25_1","Y1E_ST25_2","Y1E_ST25_3","Y1E_ST25_4","Y1E_ST25_5","Y1E_ENG_VS","Y1E_KOR_VS","Y1E_MATH_VS","Y1E_ST21_1R","Y1E_ST21_2R","Y1E_ST21_3R","성장신념","수업태도","학업성취도"
10057,1,3,3,3,4,3,4,3,3,492.19,365.82,421.71,3,3,3,3,3.4,426.573333333333
10058,1,1,1,1,4,5,4,4,3,492.19,433.3,450.43,5,5,5,5,4,458.64
10059,2,2,3,2,3,2,5,3,4,492.19,409.48,594.05,4,3,4,4,3.4,498.573333333333
10060,2,1,1,1,4,4,4,3,3,492.19,409.48,495.57,5,5,5,5,3.6,465.746666666667
10061,2,2,1,1,4,5,4,4,4,492.19,469.03,450.43,4,5,5,4.33333333333333,4.2,470.55
10062,2,2,3,3,4,4,5,3,3,492.19,492.84,651.5,4,3,3,3.66666666666667,3.8,545.51
10063,2,1,1,1,4,4,4,3,4,492.19,385.67,565.33,5,5,5,5,3.8,481.063333333333
10064,2,3,4,3,3,4,4,2,3,421.08,385.67,434.02,3,2,3,3,3.2,413.59
10065,2,1,5,1,3,4,3,1,3,492.19,524.6,524.3,5,1,5,5,2.8,513.696666666667
10066,2,1,1,1,5,5,5,4,3,492.19,433.3,651.5,5,5,5,5,4.4,525.663333333333
10067,2,1,3,3,3,2,5,2,1,492.19,405.52,450.43,5,3,3,4.33333333333333,2.6,449.38
10068,2,4,3,2,4,4,3,3,3,376.16,353.91,450.43,2,3,4,2.66666666666667,3.4,393.5
10069,2,1,2,2,4,5,5,3,4,492.19,441.24,651.5,5,4,4,4.66666666666667,4.2,528.31
10070,2,2,2,3,3,4,3,2,2,383.65,365.82,594.05,4,4,3,3.66666666666667,2.8,447.84
10071,2,1,2,1,5,5,4,3,3,492.19,600.02,495.57,5,4,5,5,4,529.26
10072,2,1,2,1,4,4,5,3,4,492.19,600.02,651.5,5,4,5,5,4,581.236666666667
10073,2,1,3,2,4,4,4,1,3,492.19,600.02,565.33,5,3,4,4.66666666666667,3.2,552.513333333333
10074,2,2,1,1,5,5,5,4,3,383.65,373.76,594.05,4,5,5,4.33333333333333,4.4,450.486666666667
10075,1,2,1,1,4,4,4,3,2,492.19,476.96,594.05,4,5,5,4.33333333333333,3.4,521.066666666667
10076,1,1,1,1,3,4,4,2,5,492.19,433.3,651.5,5,5,5,5,3.6,525.663333333333
10077,1,1,2,1,5,5,4,5,5,368.68,453.15,392.98,5,4,5,5,4.8,404.936666666667
10078,1,3,3,3,4,4,4,4,4,376.16,600.02,565.33,3,3,3,3,4,513.836666666667
10079,1,1,1,1,5,5,5,5,5,421.08,377.73,524.3,5,5,5,5,5,441.036666666667
10080,1,1,1,1,4,4,4,3,4,376.16,334.07,450.43,5,5,5,5,3.8,386.886666666667
10081,1,3,3,3,5,4,4,5,5,421.08,433.3,495.57,3,3,3,3,4.6,449.983333333333
10082,1,1,1,1,5,5,5,5,5,376.16,421.39,524.3,5,5,5,5,5,440.616666666667
10083,1,1,1,1,3,4,4,4,3,376.16,449.18,495.57,5,5,5,5,3.6,440.303333333333
10084,1,4,5,4,4,3,4,4,4,372.42,286.43,372.47,2,1,2,2,3.8,343.773333333333
10085,1,1,1,1,4,4,3,3,3,492.19,361.85,421.71,5,5,5,5,3.4,425.25
10086,1,5,5,1,4,5,5,5,5,421.08,401.55,524.3,1,1,5,2.33333333333333,4.8,448.976666666667
10087,2,2,1,1,5,5,5,5,5,492.19,524.6,524.3,4,5,5,4.33333333333333,5,513.696666666667
10088,2,1,1,1,5,5,5,5,3,376.16,449.18,495.57,5,5,5,5,4.6,440.303333333333
10089,2,1,1,1,5,5,5,5,5,492.19,377.73,651.5,5,5,5,5,5,507.14
10090,2,1,3,1,5,5,5,5,5,492.19,433.3,594.05,5,3,5,5,5,506.513333333333
10091,2,1,1,1,5,5,5,5,5,492.19,469.03,565.33,5,5,5,5,5,508.85
10092,2,2,4,2,4,3,5,4,4,383.65,600.02,524.3,4,2,4,4,4,502.656666666667
10093,2,1,1,1,4,3,4,3,2,492.19,524.6,594.05,5,5,5,5,3.2,536.946666666667
10094,2,4,4,2,5,5,5,4,5,421.08,405.52,594.05,2,2,4,2.66666666666667,4.8,473.55
10095,2,2,2,4,4,5,5,5,5,421.08,449.18,405.29,4,4,2,3.33333333333333,4.8,425.183333333333
10096,2,1,1,1,5,5,5,4,4,492.19,433.3,651.5,5,5,5,5,4.6,525.663333333333
10097,2,2,2,1,NA,NA,NA,NA,NA,492.19,600.02,594.05,4,4,5,4.33333333333333,NA,562.086666666667
10098,2,1,1,1,5,3,5,4,5,421.08,413.45,651.5,5,5,5,5,4.4,495.343333333333
10099,2,1,2,4,5,3,5,2,2,492.19,405.52,524.3,5,4,2,4,3.4,474.003333333333
10100,1,1,1,1,5,5,5,5,5,492.19,385.67,651.5,5,5,5,5,5,509.786666666667
10101,1,2,3,3,5,5,5,4,3,492.19,377.73,594.05,4,3,3,3.66666666666667,4.4,487.99
10102,1,1,1,1,5,5,4,5,4,383.65,318.19,372.47,5,5,5,5,4.6,358.103333333333
10103,1,4,2,1,5,5,5,4,4,421.08,600.02,651.5,2,4,5,3,4.6,557.533333333333
10104,1,1,1,1,4,5,5,5,5,383.65,405.52,466.85,5,5,5,5,4.8,418.673333333333
10105,1,4,3,4,4,3,4,3,2,492.19,373.76,495.57,2,3,2,2,3.2,453.84
10106,1,1,1,1,5,5,4,3,3,492.19,401.55,651.5,5,5,5,5,4,515.08
10107,1,2,2,2,5,5,3,5,5,421.08,369.79,466.85,4,4,4,4,4.6,419.24
10108,1,1,1,2,5,5,5,1,5,492.19,449.18,651.5,5,5,4,4.66666666666667,4.2,530.956666666667
10109,1,1,1,1,4,4,3,2,2,492.19,413.45,392.98,5,5,5,5,3,432.873333333333
10110,1,1,1,1,3,4,2,1,3,372.42,600.02,565.33,5,5,5,5,2.6,512.59
10111,2,1,4,3,5,4,3,3,3,383.65,524.6,450.43,5,2,3,4.33333333333333,3.6,452.893333333333
10112,2,1,1,1,5,5,5,4,5,492.19,453.15,450.43,5,5,5,5,4.8,465.256666666667
10113,2,1,4,3,4,4,4,5,4,376.16,421.39,524.3,5,2,3,4.33333333333333,4.2,440.616666666667
10114,2,5,5,1,5,5,5,5,4,492.19,469.03,495.57,1,1,5,2.33333333333333,4.8,485.596666666667
10115,2,4,1,1,5,5,5,4,5,492.19,433.3,524.3,2,5,5,3,4.8,483.263333333333
10116,2,1,1,1,3,3,3,1,1,357.45,377.73,565.33,5,5,5,5,2.2,433.503333333333
10117,2,1,1,1,5,5,5,5,5,376.16,353.91,421.71,5,5,5,5,5,383.926666666667
10118,2,1,1,1,3,3,3,3,3,492.19,433.3,450.43,5,5,5,5,3,458.64
10119,2,5,1,1,4,4,3,3,3,368.68,413.45,434.02,1,5,5,2.33333333333333,3.4,405.383333333333
10120,2,1,1,1,4,4,5,2,2,492.19,413.45,651.5,5,5,5,5,3.4,519.046666666667
10121,2,1,1,1,5,4,3,1,2,492.19,433.3,524.3,5,5,5,5,3,483.263333333333
10122,2,1,1,1,5,5,5,5,5,492.19,413.45,524.3,5,5,5,5,5,476.646666666667
10123,2,5,2,2,5,5,5,3,4,376.16,361.85,351.95,1,4,4,2,4.4,363.32
10124,2,5,5,1,4,3,3,2,3,376.16,453.15,372.47,1,1,5,2.33333333333333,3,400.593333333333
10125,2,4,3,2,3,3,3,3,3,383.65,389.64,524.3,2,3,4,2.66666666666667,3,432.53
10126,1,1,1,1,5,5,3,4,5,383.65,345.97,594.05,5,5,5,5,4.4,441.223333333333
10127,1,1,1,1,4,3,3,3,3,357.45,449.18,450.43,5,5,5,5,3.2,419.02
10128,1,3,3,3,5,4,3,3,3,421.08,441.24,651.5,3,3,3,3,3.6,504.606666666667
10129,1,4,3,2,4,4,3,2,2,421.08,377.73,495.57,2,3,4,2.66666666666667,3,431.46
10130,1,2,2,3,3,3,3,3,3,376.16,353.91,495.57,4,4,3,3.66666666666667,3,408.546666666667
10131,1,1,5,1,3,3,3,3,3,492.19,334.07,466.85,5,1,5,5,3,431.036666666667
10132,1,2,2,2,3,3,4,2,2,492.19,413.45,651.5,4,4,4,4,2.8,519.046666666667
10133,1,1,2,2,3,3,3,2,3,421.08,381.7,466.85,5,4,4,4.66666666666667,2.8,423.21
10134,1,1,1,1,4,4,3,3,3,492.19,600.02,495.57,5,5,5,5,3.4,529.26
10135,1,1,2,1,4,3,5,5,4,492.19,405.52,651.5,5,4,5,5,4.2,516.403333333333
10136,1,1,1,1,4,3,3,3,3,492.19,389.64,594.05,5,5,5,5,3.2,491.96
10137,1,2,2,2,3,4,3,3,3,421.08,413.45,524.3,4,4,4,4,3.2,452.943333333333
10138,1,1,1,1,5,4,4,5,5,357.45,318.19,405.29,5,5,5,5,4.6,360.31
10139,2,3,2,2,3,4,4,4,3,376.16,421.39,421.71,3,4,4,3.33333333333333,3.6,406.42
10140,2,2,2,2,3,3,4,2,2,421.08,469.03,594.05,4,4,4,4,2.8,494.72
10141,2,1,1,1,4,5,5,5,5,383.65,405.52,651.5,5,5,5,5,4.8,480.223333333333
10142,2,1,5,1,3,3,3,1,1,376.16,345.97,405.29,5,1,5,5,2.2,375.806666666667
10143,2,1,1,1,5,5,5,5,5,421.08,600.02,495.57,5,5,5,5,5,505.556666666667
10144,2,1,2,3,5,5,5,5,5,421.08,322.16,594.05,5,4,3,4.33333333333333,5,445.763333333333
10145,2,1,1,1,5,4,3,4,5,492.19,361.85,594.05,5,5,5,5,4.2,482.696666666667
10146,2,1,1,1,3,3,5,2,3,421.08,524.6,524.3,5,5,5,5,3.2,489.993333333333
10147,2,3,3,3,4,4,5,4,4,492.19,385.67,495.57,3,3,3,3,4.2,457.81
10148,2,3,2,2,4,5,4,3,5,492.19,476.96,524.3,3,4,4,3.33333333333333,4.2,497.816666666667
10149,2,2,3,2,3,3,4,3,4,492.19,409.48,565.33,4,3,4,4,3.4,489
10150,1,2,2,2,4,4,4,4,4,383.65,405.52,524.3,4,4,4,4,4,437.823333333333
10151,1,1,5,1,3,3,2,4,4,368.68,322.16,495.57,5,1,5,5,3.2,395.47
10152,1,4,4,4,4,4,4,3,3,421.08,433.3,524.3,2,2,2,2,3.6,459.56
10153,1,4,1,1,3,3,4,3,4,372.42,334.07,495.57,2,5,5,3,3.4,400.686666666667
10154,1,3,3,3,4,3,2,2,2,421.08,334.07,466.85,3,3,3,3,2.6,407.333333333333
10155,1,3,3,3,4,4,3,3,3,376.16,338.04,392.98,3,3,3,3,3.4,369.06
10156,1,4,2,2,3,3,3,1,1,383.65,318.19,466.85,2,4,4,2.66666666666667,2.2,389.563333333333
10157,1,1,4,2,4,4,5,3,5,357.45,409.48,495.57,5,2,4,4.66666666666667,4.2,420.833333333333
10158,1,4,2,4,3,4,2,2,2,342.48,286.43,466.85,2,4,2,2,2.6,365.253333333333
10159,1,2,4,2,4,3,3,2,2,492.19,389.64,524.3,4,2,4,4,2.8,468.71
10160,1,1,1,1,5,5,4,4,4,492.19,405.52,524.3,5,5,5,5,4.4,474.003333333333
10161,1,1,3,1,4,4,4,2,3,376.16,389.64,594.05,5,3,5,5,3.4,453.283333333333
10162,1,1,1,1,4,5,4,4,5,376.16,405.52,372.47,5,5,5,5,4.4,384.716666666667
10163,1,2,5,2,5,5,3,3,4,383.65,361.85,524.3,4,1,4,4,4,423.266666666667
10164,1,1,1,1,4,4,4,1,3,421.08,449.18,594.05,5,5,5,5,3.2,488.103333333333
10165,2,2,1,1,4,4,4,2,4,492.19,413.45,524.3,4,5,5,4.33333333333333,3.6,476.646666666667
10166,2,2,2,2,4,4,4,3,3,357.45,389.64,495.57,4,4,4,4,3.6,414.22
10167,2,3,3,2,5,5,5,4,4,492.19,469.03,594.05,3,3,4,3.33333333333333,4.6,518.423333333333
10168,2,5,4,1,1,1,5,5,5,368.68,342,372.47,1,2,5,2.33333333333333,3.4,361.05
10169,2,3,3,2,3,3,3,3,3,492.19,361.85,495.57,3,3,4,3.33333333333333,3,449.87
10170,2,4,3,2,5,5,4,4,4,383.65,469.03,495.57,2,3,4,2.66666666666667,4.4,449.416666666667
10171,2,1,1,1,3,4,4,3,4,421.08,385.67,495.57,5,5,5,5,3.6,434.106666666667
10172,2,1,2,2,4,4,3,3,3,492.19,469.03,594.05,5,4,4,4.66666666666667,3.4,518.423333333333
10173,2,2,2,3,4,3,2,3,4,421.08,421.39,450.43,4,4,3,3.66666666666667,3.2,430.966666666667
10174,2,1,1,1,4,3,3,NA,5,492.19,405.52,495.57,5,5,5,5,NA,464.426666666667
10175,2,3,4,2,5,5,5,4,5,421.08,389.64,524.3,3,2,4,3.33333333333333,4.8,445.006666666667
10176,2,3,5,1,5,5,5,5,5,492.19,469.03,651.5,3,1,5,3.66666666666667,5,537.573333333333
10177,1,1,3,1,5,5,5,4,5,492.19,409.48,524.3,5,3,5,5,4.8,475.323333333333
10178,1,1,1,1,4,3,2,1,4,421.08,361.85,405.29,5,5,5,5,2.8,396.073333333333
10179,1,1,2,1,4,4,4,3,2,368.68,409.48,495.57,5,4,5,5,3.4,424.576666666667
10180,1,1,2,1,5,5,4,3,4,383.65,377.73,495.57,5,4,5,5,4.2,418.983333333333
10181,1,1,1,1,4,5,3,4,5,376.16,389.64,651.5,5,5,5,5,4.2,472.433333333333
10182,1,4,3,3,4,4,2,3,2,334.99,290.4,392.98,2,3,3,2.33333333333333,3,339.456666666667
10183,1,2,1,2,3,2,2,1,1,376.16,310.25,466.85,4,5,4,4,1.8,384.42
10184,2,1,1,1,5,5,5,3,5,383.65,361.85,565.33,5,5,5,5,4.6,436.943333333333
10185,2,1,2,1,5,5,5,4,5,492.19,433.3,466.85,5,4,5,5,4.8,464.113333333333
10186,2,4,2,2,4,3,5,4,4,368.68,433.3,495.57,2,4,4,2.66666666666667,4,432.516666666667
